C4,RhlIPlus,RhlI(C12=0),RhlI(C12=0.4),RhlI(C12=0.8),RhlI(C12=1.2),RhlI(C12=1.6),RhlI(C12=2)
1.46,59633.8835032983,54547.7737550549,110443.103608339,113870.580776024,115108.431792853,115746.933627828,116136.538436
1.464,59716.5492940741,54554.5871284541,110449.916981738,113877.394149423,115115.245166252,115753.747001227,116143.351809399
1.468,59798.9995621123,54561.3827383158,110456.7125916,113884.189759285,115122.040776114,115760.542611089,116150.147419261
1.472,59881.2351491682,54568.1606540178,110463.490507302,113890.967674987,115128.818691816,115767.320526791,116156.925334963
1.476,59963.2568926193,54574.9209445775,110470.250797861,113897.727965547,115135.578982375,115774.080817351,116163.685625523
1.48,60045.0656254938,54581.6636786537,110476.993531937,113904.470699623,115142.321716451,115780.823551427,116170.428359599
1.484,60126.6621764988,54588.3889245489,110483.718777833,113911.195945518,115149.046962347,115787.548797322,116177.153605494
1.488,60208.0473700481,54595.096750212,110490.426603496,113917.903771181,115155.75478801,115794.256622985,116183.861431157
1.492,60289.2220262903,54601.7872232401,110497.117076524,113924.594244209,115162.445261038,115800.947096013,116190.551904185
1.496,60370.1869611361,54608.4604108813,110503.790264165,113931.26743185,115169.118448679,115807.620283654,116197.225091827
1.5,60450.9429862854,54615.1163800363,110510.44623332,113937.923401006,115175.774417834,115814.27625281,116203.881060982
1.504,60531.4909092553,54621.7551972614,110517.085050545,113944.562218231,115182.413235059,115820.915070035,116210.519878207
1.508,60611.8315334058,54628.3769287701,110523.706782054,113951.183949739,115189.034966568,115827.536801543,116217.141609715
1.512,60691.9656579677,54634.9816404355,110530.311493719,113957.788661405,115195.639678233,115834.141513209,116223.746321381
1.516,60771.8940780681,54641.5693977925,110536.899251076,113964.376418762,115202.22743559,115840.729270566,116230.334078738
1.52,60851.6175847575,54648.1402660402,110543.470119324,113970.947287009,115208.798303838,115847.300138813,116236.904946985
1.524,60931.1369650353,54654.6943100435,110550.024163327,113977.501331013,115215.352347841,115853.854182817,116243.458990989
1.528,61010.4530018761,54661.2315943357,110556.561447619,113984.038615305,115221.889632133,115860.391467109,116249.996275281
1.532,61089.5664742551,54667.7521831207,110563.082036404,113990.55920409,115228.410220918,115866.912055894,116256.516864066
1.536,61168.4781571738,54674.2561402745,110569.585993558,113997.063161244,115234.914178072,115873.416013048,116263.02082122
1.54,61247.1888216853,54680.7435293479,110576.073382632,114003.550550317,115241.401567146,115879.903402121,116269.508210293
1.544,61325.6992349193,54687.2144135682,110582.544266852,114010.021434537,115247.872451366,115886.374286341,116275.979094513
1.548,61404.010160107,54693.6688558416,110588.998709125,114016.475876811,115254.326893639,115892.828728615,116282.433536787
1.552,61482.1223566061,54700.1069187549,110595.436772039,114022.913939724,115260.764956553,115899.266791528,116288.8715997
1.556,61560.0365799251,54706.5286645775,110601.858517861,114029.335685547,115267.186702375,115905.688537351,116295.293345523
1.56,61637.7535817476,54712.9341552637,110608.264008547,114035.741176233,115273.592193061,115912.094028037,116301.698836209
1.564,61715.2741099567,54719.3234524548,110614.653305739,114042.130473424,115279.981490253,115918.483325228,116308.0881334
