M,C4Independent,C12Independent,C4Hierarchy,C12Hierarchy,C4Reciprocal,C12Reciprocal,C4IndependentPlus,C12IndependentPlus,C4HierarchyPlus,C12HierarchyPlus,LasBIndependent,LasBIndependentPlus,LasBHierarchy,LasBHierarchyPlus,LasBReciprocal
1.31,0.0170199268606981,0.197116264157801,0.894535288726435,0.197116264157801,0.971039544754308,0.665999164037054,0.0444352792774788,0.573074937048166,0.964996857926116,0.573074937048166,3122.61394682537,6685.71033254419,11311.7165484218,19728.5832660901,20976.4890497102
1.32,0.0169424886868152,0.195770998680366,0.88995885643869,0.195770998680366,0.966618654540546,0.663414770919439,0.0439342391570872,0.570414809428366,0.960549660305109,0.570414809428366,3111.57125925011,6640.8863124115,11257.0968753672,19676.5115301369,20930.3347060471
1.33,0.016865751581398,0.194435217058839,0.885419858733882,0.194435217058839,0.962236150331271,0.660848080357853,0.0434438997156049,0.567772296801455,0.956140753576046,0.567772296801455,3100.62263820852,6596.79312322378,11202.6965635297,19624.5796484588,20884.3255750745
1.34,0.0167897060722725,0.193108830916169,0.880917804329214,0.193108830916169,0.957891536470964,0.658298915748967,0.0429639360629326,0.565147225553167,0.951769642098869,0.565147225553167,3089.76700842645,6553.41306586485,11148.5149399809,19572.7871136011,20838.4610744152
1.35,0.0167143428570439,0.191791753083731,0.876452210391092,0.191791753083731,0.953584325778974,0.655767102818485,0.0424940357585576,0.562539424347235,0.947435838705298,0.562539424347235,3079.00331193927,6510.72897427425,11094.5513380779,19521.1334210139,20792.7406248519
1.36,0.0166396527993117,0.19048389758198,0.87202260235765,0.19048389758198,0.949314039369477,0.653252469582948,0.0420338982491624,0.559948724088179,0.943138864518846,0.559948724088179,3068.33050774983,6468.72419769806,11040.8050974283,19469.6180690271,20747.1636503027
1.37,0.0165656269249858,0.189185179601488,0.86762851376582,0.189185179601488,0.945080206476012,0.650754846312293,0.0415832343347758,0.557374957884809,0.93887824877941,0.557374957884809,3057.7475714945,6427.38258350126,10987.2755638551,19418.2405588257,20701.7295777954
1.38,0.0164922564186999,0.187895515484351,0.863269486082813,0.187895515484351,0.940882364280444,0.648274065493143,0.041141765661905,0.554817961014456,0.934653528672279,0.554817961014456,3047.25349511736,6386.68846053255,10933.9620893616,19367.000394425,20656.4378374435
1.39,0.0164195326203196,0.186614822705944,0.858945068541871,0.186614822705944,0.936720057746224,0.645809961792811,0.0407092242421768,0.552277570887886,0.930464249161448,0.552277570887886,3036.84728655209,6346.62662303144,10880.8640320969,19315.8970826466,20611.2878624217
1.4,0.0163474470215423,0.185343019857048,0.854654817982177,0.185343019857048,0.932592839455828,0.643362372023994,0.0402853519950967,0.549753627014893,0.926309962827106,0.549753627014893,3026.52796941138,6307.18231506645,10827.9807563225,19264.9301330942,20566.2790889418
1.41,0.0162759912625861,0.184080026626304,0.8503982986928,0.184080026626304,0.928500269452251,0.640931135110168,0.039869900313615,0.547245970970569,0.922190229707173,0.547245970970569,3016.29458268369,6268.3412154926,10775.3116323777,19214.0990581302,20521.4109562291
1.42,0.0162051571289647,0.182825763783014,0.846175082260554,0.182825763783014,0.92444191508443,0.638516092051627,0.0394626296512629,0.544754446362202,0.918104617142772,0.544754446362202,3006.14618043723,6230.0894234157,10722.8560366465,19163.4033728521,20476.6829064988
1.43,0.0161349365483461,0.181580153160265,0.84198474742166,0.181580153160265,0.920417350856502,0.636117085892194,0.0390633091296902,0.542278898796826,0.914052699627532,0.542278898796826,2996.08183153071,6192.41344415065,10670.613351524,19112.8425950697,20432.094384933
