C12,LasIPlus,LasI(C4=0),LasI(C4=0.4),LasI(C4=0.8),LasI(C4=1.2),LasI(C4=1.6),LasI(C4=2)
0.992,98159.0919500885,51415.7561528863,102488.460233788,104059.163205266,105020.583707406,105680.583835411,106163.463192766
0.996,98233.8045004803,51454.2747903677,102526.978871269,104097.681842748,105059.102344887,105719.102472892,106201.981830248
1,98308.0337552358,51492.5442610182,102565.24834192,104135.951313398,105097.371815538,105757.371943543,106240.251300898
1.004,98381.7843887029,51530.5669747343,102603.271055636,104173.974027114,105135.394529254,105795.394657259,106278.274014614
1.008,98455.0610151442,51568.3453104349,102641.049391336,104211.752362815,105173.172864955,105833.172992959,106316.052350315
1.012,98527.8681896989,51605.8816165577,102678.585697459,104249.288668938,105210.709171077,105870.709299082,106353.588656437
1.016,98600.210409327,51643.1782115453,102715.882292447,104286.585263925,105248.005766065,105908.00589407,106390.885251425
1.02,98672.092113735,51680.2373843231,102752.941465225,104323.644436703,105285.064938843,105945.065066848,106427.944424203
1.024,98743.5176862846,51717.0613947673,102789.765475669,104360.468447147,105321.888949287,105981.889077292,106464.768434647
1.028,98814.4914548831,51753.6524741643,102826.356555066,104397.059526544,105358.480028684,106018.480156689,106501.359514044
1.032,98885.017692858,51790.0128256612,102862.716906563,104433.419878041,105394.840380181,106054.840508186,106537.719865541
1.036,98955.1006198145,51826.1446247086,102898.84870561,104469.551677089,105430.972179228,106090.972307233,106573.851664588
1.04,99024.7444024772,51862.0500194937,102934.754100395,104505.457071874,105466.877574013,106126.877702018,106609.757059374
1.044,99093.953155516,51897.7311313667,102970.435212268,104541.138183747,105502.558685886,106162.558813891,106645.438171246
1.048,99162.7309423559,51933.1900552579,103005.894136159,104576.597107638,105538.017609778,106198.017737782,106680.897095138
1.052,99231.0817759732,51968.4288600885,103041.13294099,104611.835912468,105573.256414608,106233.256542613,106716.135899968
1.056,99299.0096196752,52003.4495891726,103076.153670074,104646.856641553,105608.277143692,106268.277271697,106751.156629052
1.06,99366.5183878664,52038.2542606119,103110.958341513,104681.661312992,105643.081815132,106303.081943136,106785.961300492
1.064,99433.6119468011,52072.8448676838,103145.548948585,104716.251920064,105677.672422203,106337.672550208,106820.551907564
1.068,99500.2941153206,52107.2233792218,103179.927460123,104750.630431602,105712.050933741,106372.051061746,106854.930419102
1.072,99566.5686655784,52141.3917399889,103214.09582089,104784.798792369,105746.219294509,106406.219422513,106889.098779869
1.076,99632.439323751,52175.3518710447,103248.055951946,104818.758923425,105780.179425564,106440.179553569,106923.058910925
1.08,99697.909770737,52209.1056701049,103281.809751006,104852.512722485,105813.933224625,106473.933352629,106956.812709985
1.084,99762.9836428418,52242.6550118951,103315.359092797,104886.062064275,105847.482566415,106507.48269442,106990.362051775
1.088,99827.6645324517,52276.0017484982,103348.7058294,104919.408800878,105880.829303018,106540.829431023,107023.708788378
1.092,99891.9559886945,52309.1477096946,103381.851790596,104952.554762075,105913.975264214,106573.975392219,107056.854749574
1.096,99955.8615180888,52342.0947032973,103414.798784199,104985.501755677,105946.922257817,106606.922385822,107089.801743177
1.1,100019.384585182,52374.8445154804,103447.548596382,105018.25156786,105979.67207,106639.672198005,107122.55155536
1.104,100082.528613174,52407.3989111021,103480.102992004,105050.805963482,106012.226465622,106672.226593627,107155.105950982
1.108,100145.296984537,52439.7596340216,103512.463714923,105083.166686402,106044.587188541,106704.587316546,107187.466673901
1.112,100207.693041615,52471.9284074103,103544.632488312,105115.33545979,106076.75596193,106736.756089935,107219.63544729
1.116,100269.720087218,52503.9069340581,103576.61101496,105147.313986438,106108.734488578,106768.734616583,107251.613973938
1.12,100331.381385207,52535.6968966734,103608.400977575,105179.103949053,106140.524451193,106800.524579198,107283.403936553
1.124,100392.680161062,52567.2999581787,103640.00403908,105210.707010559,106172.127512698,106832.127640703,107315.006998059
1.128,100453.619602452,52598.7177620002,103671.421842902,105242.12481438,106203.54531652,106863.545444525,107346.42480188
